driver,month,n_bugs,n_files,n_lines
CDRIVER,2009-12,0,0,0
CDRIVER,2010-01,0,0,0
CDRIVER,2010-02,0,0,0
CDRIVER,2010-03,0,0,0
CDRIVER,2010-04,0,0,0
CDRIVER,2010-05,0,0,0
CDRIVER,2010-06,0,0,0
CDRIVER,2010-07,0,0,0
CDRIVER,2010-08,0,0,0
CDRIVER,2010-09,0,0,0
CDRIVER,2010-10,0,0,0
CDRIVER,2010-11,0,0,0
CDRIVER,2010-12,0,0,0
CDRIVER,2011-01,0,0,0
CDRIVER,2011-02,0,0,0
CDRIVER,2011-03,0,0,0
CDRIVER,2011-04,0,0,0
CDRIVER,2011-05,0,0,0
CDRIVER,2011-06,0,0,0
CDRIVER,2011-07,0,0,0
CDRIVER,2011-08,0,0,0
CDRIVER,2011-09,0,0,0
CDRIVER,2011-10,0,0,0
CDRIVER,2011-11,0,0,0
CDRIVER,2011-12,0,0,0
CDRIVER,2012-01,0,0,0
CDRIVER,2012-02,0,0,0
CDRIVER,2012-03,0,0,0
CDRIVER,2012-04,0,0,0
CDRIVER,2012-05,0,0,0
CDRIVER,2012-06,0,0,0
CDRIVER,2012-07,0,0,0
CDRIVER,2012-08,0,0,0
CDRIVER,2012-09,0,0,0
CDRIVER,2012-10,0,0,0
CDRIVER,2012-11,0,0,0
CDRIVER,2012-12,0,0,0
CDRIVER,2013-01,0,0,0
CDRIVER,2013-02,0,0,0
CDRIVER,2013-03,0,0,0
CDRIVER,2013-04,0,0,0
CDRIVER,2013-05,0,0,0
CDRIVER,2013-06,0,0,0
CDRIVER,2013-07,0,0,0
CDRIVER,2013-08,0,0,0
CDRIVER,2013-09,0,0,0
CDRIVER,2013-10,0,0,0
CDRIVER,2013-11,1,0,0
CDRIVER,2013-12,0,0,0
CDRIVER,2014-01,0,0,0
CDRIVER,2014-02,0,0,0
CDRIVER,2014-03,0,0,0
CDRIVER,2014-04,0,0,0
CDRIVER,2014-05,1,0,0
CDRIVER,2014-06,0,0,0
CDRIVER,2014-07,0,0,0
CDRIVER,2014-08,1,0,0
CDRIVER,2014-09,0,0,0
CDRIVER,2014-10,0,0,0
CDRIVER,2014-11,0,0,0
CDRIVER,2014-12,0,0,0
CDRIVER,2015-01,0,0,0
CDRIVER,2015-02,1,0,0
CDRIVER,2015-03,0,0,0
CDRIVER,2015-04,1,0,0
CDRIVER,2015-05,7,0,0
CDRIVER,2015-06,3,0,0
CDRIVER,2015-07,2,0,0
CDRIVER,2015-08,1,0,0
CDRIVER,2015-09,0,0,0
CDRIVER,2015-10,2,0,0
CDRIVER,2015-11,0,0,0
CDRIVER,2015-12,0,0,0
CDRIVER,2016-01,1,0,0
