driver,month,spec,n_files,n_lines,driver_commit,submodule_sha
JAVA,2025-04,atlas-data-lake-testing,7,212,03959929,a039bb44
JAVA,2025-04,auth,2,696,03959929,a039bb44
JAVA,2025-04,change-streams,9,4011,03959929,a039bb44
JAVA,2025-04,client-side-encryption,119,28834,03959929,a039bb44
JAVA,2025-04,client-side-operations-timeout,28,20447,03959929,a039bb44
JAVA,2025-04,collection-management,5,436,03959929,a039bb44
JAVA,2025-04,command-logging-and-monitoring,25,2936,03959929,a039bb44
JAVA,2025-04,connection-monitoring-and-pooling,35,1704,03959929,a039bb44
JAVA,2025-04,connection-string,8,1256,03959929,a039bb44
JAVA,2025-04,crud,164,17144,03959929,a039bb44
JAVA,2025-04,gridfs,8,1152,03959929,a039bb44
JAVA,2025-04,index-management,6,443,03959929,a039bb44
JAVA,2025-04,initial-dns-seedlist-discovery,53,467,03959929,a039bb44
JAVA,2025-04,load-balancers,8,1533,03959929,a039bb44
JAVA,2025-04,max-staleness,32,965,03959929,a039bb44
JAVA,2025-04,read-write-concern,8,807,03959929,a039bb44
JAVA,2025-04,retryable-reads,45,12102,03959929,a039bb44
JAVA,2025-04,retryable-writes,35,6198,03959929,a039bb44
JAVA,2025-04,run-command,2,660,03959929,a039bb44
JAVA,2025-04,server-discovery-and-monitoring,221,15918,03959929,a039bb44
JAVA,2025-04,server-selection,73,1981,03959929,a039bb44
JAVA,2025-04,sessions,7,1440,03959929,a039bb44
JAVA,2025-04,transactions,40,16665,03959929,a039bb44
JAVA,2025-04,transactions-convenient-api,10,2027,03959929,a039bb44
JAVA,2025-04,unified-test-format,315,6298,03959929,a039bb44
JAVA,2025-04,uri-options,11,1305,03959929,a039bb44
JAVA,2025-04,versioned-api,6,1088,03959929,a039bb44
JAVA,2025-05,atlas-data-lake-testing,7,212,afe36001,ca0e382f
JAVA,2025-05,auth,2,696,afe36001,ca0e382f
JAVA,2025-05,change-streams,9,4011,afe36001,ca0e382f
JAVA,2025-05,client-side-encryption,119,28834,afe36001,ca0e382f
JAVA,2025-05,client-side-operations-timeout,28,20447,afe36001,ca0e382f
JAVA,2025-05,collection-management,5,436,afe36001,ca0e382f
JAVA,2025-05,command-logging-and-monitoring,25,2936,afe36001,ca0e382f
JAVA,2025-05,connection-monitoring-and-pooling,35,1704,afe36001,ca0e382f
